#TYPE System.Management.Automation.PSCustomObject
"GroupPolicyName","LocalAdministrators","SID"
"Demo","BLOEDGELABER\aa","<SOMName xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">Computers</SOMName><SOMPath xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">bloedgelaber.de/BG-T0/Computers</SOMPath><Enabled xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">true</Enabled><NoOverride xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">false</NoOverride>"
"BG Client Default","MyAdmins-%computername%","<SOMName xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">BG-Computer</SOMName><SOMPath xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">bloedgelaber.de/BG-Computer</SOMPath><Enabled xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">true</Enabled><NoOverride xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">false</NoOverride>"
"BG-Servers","Admin-%COMPUTERNAME%","<SOMName xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">BG-Servers</SOMName><SOMPath xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">bloedgelaber.de/BG-Servers</SOMPath><Enabled xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">true</Enabled><NoOverride xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">false</NoOverride>"
"Dummy13","BLOEDGELABER\aa","<SOMName xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">BG-Temp</SOMName><SOMPath xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">bloedgelaber.de/BG-Temp</SOMPath><Enabled xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">true</Enabled><NoOverride xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">false</NoOverride>"
"Dummy13","LocalAdmin-%ComputerName%","<SOMName xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">BG-Temp</SOMName><SOMPath xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">bloedgelaber.de/BG-Temp</SOMPath><Enabled xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">true</Enabled><NoOverride xmlns=""http://www.microsoft.com/GroupPolicy/Settings"">false</NoOverride>"
